Training setting: 
	{learning rate:0.001, batch size:24, optimizer:'SGD', total epochs:600}
	{autocast:'True', compile:'True', resume:'None'}
	{gradient accumulation: 8}
epoch    4 steps  90397:{'total_loss': 0.5383835545,  'cos': 1.2294052116,  'mse': 0.9249408029,  'bce': 1.6305833652,  'dice': 1.0799415705,  'ssim': 0.9153963582,  'kl': 0.3483145411,  }
epoch    4 steps  93397:{'total_loss': 0.5321611793,  'cos': 1.2308330162,  'mse': 0.9186054225,  'bce': 1.6268716018,  'dice': 1.0736434044,  'ssim': 0.9160009459,  'kl': 0.3444095412,  }
epoch    5 steps  97246:{'total_loss': 0.5252739041,  'cos': 1.2277267589,  'mse': 0.9017091149,  'bce': 1.5838523659,  'dice': 1.0582897903,  'ssim': 0.9162675603,  'kl': 0.3375297070,  }
epoch    5 steps 100246:{'total_loss': 0.5229512891,  'cos': 1.2494963451,  'mse': 0.8920971467,  'bce': 1.5587191779,  'dice': 1.0485884927,  'ssim': 0.9166500740,  'kl': 0.3334893423,  }
epoch    5 steps 103246:{'total_loss': 0.5135050868,  'cos': 1.2139741739,  'mse': 0.8936385657,  'bce': 1.5255717523,  'dice': 1.0437863243,  'ssim': 0.9167610042,  'kl': 0.3446205299,  }
epoch    5 steps 106246:{'total_loss': 0.5048343199,  'cos': 1.2334043462,  'mse': 0.8968437735,  'bce': 1.4126538797,  'dice': 1.0385673867,  'ssim': 0.9170511629,  'kl': 0.3747366498,  }
epoch    5 steps 109246:{'total_loss': 0.4483353751,  'cos': 1.2055265267,  'mse': 0.8118626557,  'bce': 1.1555004212,  'dice': 0.9262581621,  'ssim': 0.9199698695,  'kl': 0.4078075592,  }
epoch    5 steps 112246:{'total_loss': 0.4197777277,  'cos': 1.2101719351,  'mse': 0.7590573821,  'bce': 1.0598072758,  'dice': 0.8599815602,  'ssim': 0.9221174755,  'kl': 0.3903491910,  }
epoch    6 steps 116095:{'total_loss': 0.4144494050,  'cos': 1.2213137079,  'mse': 0.7475284975,  'bce': 1.0436889443,  'dice': 0.8453557678,  'ssim': 0.9228969736,  'kl': 0.3753264766,  }
epoch    6 steps 119095:{'total_loss': 0.4096406968,  'cos': 1.2178247674,  'mse': 0.7403952385,  'bce': 1.0331080125,  'dice': 0.8357395438,  'ssim': 0.9233126823,  'kl': 0.3646457846,  }
epoch    6 steps 122095:{'total_loss': 0.4021338095,  'cos': 1.1896467651,  'mse': 0.7369963448,  'bce': 1.0292729406,  'dice': 0.8320231569,  'ssim': 0.9236721123,  'kl': 0.3594077365,  }
epoch    6 steps 125095:{'total_loss': 0.4090002202,  'cos': 1.2448036235,  'mse': 0.7371746788,  'bce': 1.0287004032,  'dice': 0.8304732807,  'ssim': 0.9235723007,  'kl': 0.3577195560,  }
epoch    6 steps 128095:{'total_loss': 0.3998447176,  'cos': 1.2005862333,  'mse': 0.7309750331,  'bce': 1.0203769709,  'dice': 0.8246490098,  'ssim': 0.9240983950,  'kl': 0.3523878841,  }
epoch    6 steps 131095:{'total_loss': 0.3980608300,  'cos': 1.2219517297,  'mse': 0.7204757603,  'bce': 1.0026970650,  'dice': 0.8171939778,  'ssim': 0.9246342487,  'kl': 0.3450309712,  }
epoch    7 steps 134944:{'total_loss': 0.3942700968,  'cos': 1.2042373551,  'mse': 0.7173707649,  'bce': 0.9989094151,  'dice': 0.8121539538,  'ssim': 0.9248521931,  'kl': 0.3480200485,  }
epoch    7 steps 137944:{'total_loss': 0.3912384230,  'cos': 1.2052864134,  'mse': 0.7125369380,  'bce': 0.9887825379,  'dice': 0.8066336497,  'ssim': 0.9251597317,  'kl': 0.3428910018,  }
epoch    7 steps 140944:{'total_loss': 0.3918952877,  'cos': 1.2079017683,  'mse': 0.7115342993,  'bce': 0.9906069894,  'dice': 0.8029434526,  'ssim': 0.9252684221,  'kl': 0.3414966135,  }
epoch    7 steps 143944:{'total_loss': 0.3923452749,  'cos': 1.2329637174,  'mse': 0.7074438555,  'bce': 0.9839084069,  'dice': 0.8004828046,  'ssim': 0.9255084351,  'kl': 0.3388055071,  }
epoch    7 steps 146944:{'total_loss': 0.3870373320,  'cos': 1.2007370055,  'mse': 0.7063693869,  'bce': 0.9813045950,  'dice': 0.7977804370,  'ssim': 0.9256775033,  'kl': 0.3396163671,  }
epoch    7 steps 149944:{'total_loss': 0.3840117100,  'cos': 1.1902254740,  'mse': 0.7019370574,  'bce': 0.9731247852,  'dice': 0.7959024189,  'ssim': 0.9258894672,  'kl': 0.3381701168,  }
epoch    8 steps 153793:{'total_loss': 0.3825596892,  'cos': 1.2068599394,  'mse': 0.6956586098,  'bce': 0.9645719300,  'dice': 0.7885741123,  'ssim': 0.9263046729,  'kl': 0.3309244951,  }
epoch    8 steps 156793:{'total_loss': 0.3775533522,  'cos': 1.1759203960,  'mse': 0.6917405275,  'bce': 0.9612770367,  'dice': 0.7850934038,  'ssim': 0.9265620316,  'kl': 0.3303083006,  }
epoch    8 steps 159793:{'total_loss': 0.3766817573,  'cos': 1.1783162012,  'mse': 0.6902144340,  'bce': 0.9587337026,  'dice': 0.7823077528,  'ssim': 0.9267618826,  'kl': 0.3283417235,  }
epoch    8 steps 162793:{'total_loss': 0.3760369781,  'cos': 1.1793686960,  'mse': 0.6907762035,  'bce': 0.9582839567,  'dice': 0.7819318895,  'ssim': 0.9267602247,  'kl': 0.3244976121,  }
epoch    8 steps 165793:{'total_loss': 0.3779523751,  'cos': 1.2117556312,  'mse': 0.6865060835,  'bce': 0.9534398676,  'dice': 0.7777567196,  'ssim': 0.9270191056,  'kl': 0.3242436084,  }
epoch    8 steps 168793:{'total_loss': 0.3740269570,  'cos': 1.1754734036,  'mse': 0.6860302188,  'bce': 0.9519320412,  'dice': 0.7773842810,  'ssim': 0.9270966198,  'kl': 0.3270013796,  }
epoch    9 steps 172642:{'total_loss': 0.3739964761,  'cos': 1.1816339339,  'mse': 0.6846228268,  'bce': 0.9503808160,  'dice': 0.7749599440,  'ssim': 0.9272027752,  'kl': 0.3257184088,  }
epoch    9 steps 175642:{'total_loss': 0.3743992473,  'cos': 1.1939270165,  'mse': 0.6830431263,  'bce': 0.9454430633,  'dice': 0.7723750385,  'ssim': 0.9272705277,  'kl': 0.3272605495,  }
epoch    9 steps 178642:{'total_loss': 0.3686833351,  'cos': 1.1636310050,  'mse': 0.6782227172,  'bce': 0.9377598959,  'dice': 0.7691493285,  'ssim': 0.9275495876,  'kl': 0.3241535588,  }
epoch    9 steps 181642:{'total_loss': 0.3705794161,  'cos': 1.1823244241,  'mse': 0.6767561399,  'bce': 0.9356886376,  'dice': 0.7684175556,  'ssim': 0.9277475354,  'kl': 0.3214940215,  }
epoch    9 steps 184642:{'total_loss': 0.3682904775,  'cos': 1.1738194146,  'mse': 0.6768137851,  'bce': 0.9365494378,  'dice': 0.7683133236,  'ssim': 0.9277857605,  'kl': 0.3205822282,  }
epoch    9 steps 187642:{'total_loss': 0.3652737880,  'cos': 1.1538383297,  'mse': 0.6767900647,  'bce': 0.9372892272,  'dice': 0.7678061903,  'ssim': 0.9277448336,  'kl': 0.3206514488,  }
epoch   10 steps 191491:{'total_loss': 0.3646114707,  'cos': 1.1665149082,  'mse': 0.6719658824,  'bce': 0.9286496956,  'dice': 0.7614972139,  'ssim': 0.9280324781,  'kl': 0.3164184397,  }
epoch   10 steps 194491:{'total_loss': 0.3646710638,  'cos': 1.1814998342,  'mse': 0.6698805966,  'bce': 0.9253655812,  'dice': 0.7621109447,  'ssim': 0.9281149815,  'kl': 0.3112046295,  }
epoch   10 steps 197491:{'total_loss': 0.3620090991,  'cos': 1.1649989050,  'mse': 0.6675577141,  'bce': 0.9227029749,  'dice': 0.7583584528,  'ssim': 0.9282479916,  'kl': 0.3118029030,  }
epoch   10 steps 200491:{'total_loss': 0.3617202594,  'cos': 1.1700415401,  'mse': 0.6658739004,  'bce': 0.9175859145,  'dice': 0.7560047010,  'ssim': 0.9283597028,  'kl': 0.3105266576,  }
epoch   10 steps 203491:{'total_loss': 0.3583278464,  'cos': 1.1534560685,  'mse': 0.6608042859,  'bce': 0.9090493445,  'dice': 0.7531345188,  'ssim': 0.9287209911,  'kl': 0.3111208915,  }
epoch   10 steps 206491:{'total_loss': 0.3585929858,  'cos': 1.1604385309,  'mse': 0.6618220101,  'bce': 0.9127060652,  'dice': 0.7535684053,  'ssim': 0.9286356544,  'kl': 0.3086385625,  }
epoch   11 steps 210340:{'total_loss': 0.3606965821,  'cos': 1.1718042718,  'mse': 0.6639438057,  'bce': 0.9166221045,  'dice': 0.7532882400,  'ssim': 0.9285306081,  'kl': 0.3109173738,  }
epoch   11 steps 213340:{'total_loss': 0.3590196215,  'cos': 1.1728538174,  'mse': 0.6601288339,  'bce': 0.9110231237,  'dice': 0.7488075375,  'ssim': 0.9288288455,  'kl': 0.3074545774,  }
epoch   11 steps 216340:{'total_loss': 0.3582368588,  'cos': 1.1693212882,  'mse': 0.6583624783,  'bce': 0.9060320366,  'dice': 0.7493750186,  'ssim': 0.9288344715,  'kl': 0.3082481438,  }
epoch   11 steps 219340:{'total_loss': 0.3567970569,  'cos': 1.1664053821,  'mse': 0.6566120374,  'bce': 0.9064277390,  'dice': 0.7466810341,  'ssim': 0.9291007311,  'kl': 0.3062122556,  }
epoch   11 steps 222340:{'total_loss': 0.3588489710,  'cos': 1.1808421610,  'mse': 0.6599609470,  'bce': 0.9097073999,  'dice': 0.7462972429,  'ssim': 0.9288190296,  'kl': 0.3100669215,  }
epoch   11 steps 225340:{'total_loss': 0.3549086180,  'cos': 1.1621157937,  'mse': 0.6552745492,  'bce': 0.9034203069,  'dice': 0.7446689145,  'ssim': 0.9291490066,  'kl': 0.3060638916,  }
epoch   12 steps 229189:{'total_loss': 0.3529295446,  'cos': 1.1535848274,  'mse': 0.6503392471,  'bce': 0.8933764411,  'dice': 0.7418683379,  'ssim': 0.9293841473,  'kl': 0.3053170497,  }
epoch   12 steps 232189:{'total_loss': 0.3559761802,  'cos': 1.1772783911,  'mse': 0.6529584981,  'bce': 0.8991989468,  'dice': 0.7409806327,  'ssim': 0.9292422622,  'kl': 0.3073382222,  }
epoch   12 steps 235189:{'total_loss': 0.3552299150,  'cos': 1.1763722914,  'mse': 0.6524007583,  'bce': 0.8992041568,  'dice': 0.7409447507,  'ssim': 0.9292696384,  'kl': 0.3079377638,  }
epoch   12 steps 238189:{'total_loss': 0.3578911775,  'cos': 1.1960003482,  'mse': 0.6517650816,  'bce': 0.8970226518,  'dice': 0.7411408361,  'ssim': 0.9293006822,  'kl': 0.3087691289,  }
epoch   12 steps 241189:{'total_loss': 0.3488345586,  'cos': 1.1325410806,  'mse': 0.6465674034,  'bce': 0.8866520274,  'dice': 0.7388336856,  'ssim': 0.9295378984,  'kl': 0.3081377313,  }
epoch   12 steps 244189:{'total_loss': 0.3543873136,  'cos': 1.1757014484,  'mse': 0.6503164747,  'bce': 0.8960175372,  'dice': 0.7410028466,  'ssim': 0.9295149047,  'kl': 0.3059865234,  }
epoch   13 steps 248038:{'total_loss': 0.3507297325,  'cos': 1.1580751858,  'mse': 0.6467695108,  'bce': 0.8882106038,  'dice': 0.7366842364,  'ssim': 0.9296722588,  'kl': 0.3063727446,  }
epoch   13 steps 251038:{'total_loss': 0.3471486323,  'cos': 1.1359848704,  'mse': 0.6479704738,  'bce': 0.8935096934,  'dice': 0.7364187611,  'ssim': 0.9295628591,  'kl': 0.3055877343,  }
epoch   13 steps 254038:{'total_loss': 0.3468493949,  'cos': 1.1438168918,  'mse': 0.6402964904,  'bce': 0.8768374451,  'dice': 0.7316445605,  'ssim': 0.9300266851,  'kl': 0.3029619407,  }
epoch   13 steps 257038:{'total_loss': 0.3495033194,  'cos': 1.1667306568,  'mse': 0.6413952918,  'bce': 0.8785017130,  'dice': 0.7316351585,  'ssim': 0.9300418390,  'kl': 0.3046135187,  }
epoch   13 steps 260038:{'total_loss': 0.3493175751,  'cos': 1.1689753777,  'mse': 0.6407454273,  'bce': 0.8807207407,  'dice': 0.7315800200,  'ssim': 0.9301133220,  'kl': 0.3013242268,  }
epoch   13 steps 263038:{'total_loss': 0.3488170486,  'cos': 1.1685636591,  'mse': 0.6397648652,  'bce': 0.8795629566,  'dice': 0.7301631346,  'ssim': 0.9302098141,  'kl': 0.3030328033,  }
epoch   14 steps 266887:{'total_loss': 0.3453364837,  'cos': 1.1454705085,  'mse': 0.6382400368,  'bce': 0.8764428423,  'dice': 0.7293045638,  'ssim': 0.9302829125,  'kl': 0.3022854865,  }
epoch   14 steps 269887:{'total_loss': 0.3439393226,  'cos': 1.1456303790,  'mse': 0.6347004984,  'bce': 0.8700444738,  'dice': 0.7266506593,  'ssim': 0.9304868198,  'kl': 0.2999372863,  }
epoch   14 steps 272887:{'total_loss': 0.3458942377,  'cos': 1.1655798476,  'mse': 0.6347114330,  'bce': 0.8697608512,  'dice': 0.7265254241,  'ssim': 0.9304613522,  'kl': 0.3017377376,  }
epoch   14 steps 275887:{'total_loss': 0.3479958684,  'cos': 1.1709176010,  'mse': 0.6365436652,  'bce': 0.8765562342,  'dice': 0.7259682882,  'ssim': 0.9304765418,  'kl': 0.3013060926,  }
epoch   14 steps 278887:{'total_loss': 0.3478726851,  'cos': 1.1700129558,  'mse': 0.6366114266,  'bce': 0.8749588449,  'dice': 0.7281459113,  'ssim': 0.9303888245,  'kl': 0.3004533395,  }
epoch   14 steps 281887:{'total_loss': 0.3447708313,  'cos': 1.1646430109,  'mse': 0.6331290687,  'bce': 0.8691131277,  'dice': 0.7236830085,  'ssim': 0.9306411423,  'kl': 0.3003874606,  }
epoch   15 steps 285736:{'total_loss': 0.3398242469,  'cos': 1.1340096291,  'mse': 0.6311396401,  'bce': 0.8660504721,  'dice': 0.7206801480,  'ssim': 0.9307414971,  'kl': 0.2979897689,  }
epoch   15 steps 288736:{'total_loss': 0.3400693029,  'cos': 1.1392960986,  'mse': 0.6277381389,  'bce': 0.8577013016,  'dice': 0.7190116372,  'ssim': 0.9309473868,  'kl': 0.2971447809,  }
epoch   15 steps 291736:{'total_loss': 0.3410553253,  'cos': 1.1586282550,  'mse': 0.6275854557,  'bce': 0.8604530900,  'dice': 0.7176534786,  'ssim': 0.9310280904,  'kl': 0.2936868872,  }
epoch   15 steps 294736:{'total_loss': 0.3396513709,  'cos': 1.1487852163,  'mse': 0.6286209189,  'bce': 0.8603153293,  'dice': 0.7163075781,  'ssim': 0.9309172918,  'kl': 0.2956346017,  }
epoch   15 steps 297736:{'total_loss': 0.3396030147,  'cos': 1.1403445982,  'mse': 0.6266333147,  'bce': 0.8574091734,  'dice': 0.7171140124,  'ssim': 0.9310565324,  'kl': 0.2945669597,  }
